epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.2101368010044098,0.5318530201911926,0.6367040872573853,0.019821329042315483,0.8658536672592163,0.19785240292549133,0.03875545784831047,1.3572384119033813,0.019821328866554997,0.9874572405929305,71.0,3511.0,866.0,11.0
1,0.4200493395328522,0.5669756531715393,0.654733419418335,0.022501906380057335,0.7195122241973877,0.4144391119480133,0.04363905265927315,1.3510676622390747,0.02250190694126621,0.9874795862819815,59.0,2563.0,1814.0,23.0
2,0.4884503185749054,0.5719002485275269,0.6576728820800781,0.023407021537423134,0.6585366129875183,0.4852638840675354,0.0452071949839592,1.3454394340515137,0.02340702210663199,0.9869888475836431,54.0,2253.0,2124.0,28.0
3,0.5261269211769104,0.591091513633728,0.658628523349762,0.025245441123843193,0.6585366129875183,0.523646354675293,0.048626743257045746,1.3404310941696167,0.025245441795231416,0.9879310344827587,54.0,2085.0,2292.0,28.0
4,0.572101354598999,0.5965593457221985,0.6604896783828735,0.026452282443642616,0.6219512224197388,0.5711674690246582,0.050746265798807144,1.335286259651184,0.026452282157676348,0.9877518767285658,51.0,1877.0,2500.0,31.0
5,0.6048441529273987,0.6132374405860901,0.6631783246994019,0.02861952781677246,0.6219512224197388,0.6045236587524414,0.054721031337976456,1.3305552005767822,0.02861952861952862,0.9884198729921554,51.0,1731.0,2646.0,31.0
6,0.6633774638175964,0.6131356954574585,0.6657695174217224,0.03044341504573822,0.5609756112098694,0.6652958393096924,0.05775266885757446,1.3256518840789795,0.03044341495698213,0.9877883310719131,46.0,1465.0,2912.0,36.0
7,0.6826642751693726,0.6169764995574951,0.6672489643096924,0.03162332996726036,0.5487805008888245,0.6851724982261658,0.05980066582560539,1.3214046955108643,0.03162333099086437,0.9878129117259552,45.0,1378.0,2999.0,37.0
8,0.7001569867134094,0.6139200329780579,0.6704851388931274,0.03206562250852585,0.5243902206420898,0.7034498453140259,0.0604356974363327,1.316868543624878,0.03206562266964952,0.9874919820397691,43.0,1298.0,3079.0,39.0
9,0.6949988603591919,0.6232593059539795,0.6731417179107666,0.032894738018512726,0.5487805008888245,0.6977381706237793,0.06206896901130676,1.312319278717041,0.03289473684210526,0.9880297638304756,45.0,1323.0,3054.0,37.0
10,0.7405247688293457,0.6344820261001587,0.6758666038513184,0.03703703731298447,0.5243902206420898,0.7445738911628723,0.0691874548792839,1.3086137771606445,0.037037037037037035,0.9881746513038205,43.0,1118.0,3259.0,39.0
11,0.7398520112037659,0.634139358997345,0.67781001329422,0.03694158047437668,0.5243902206420898,0.7438884973526001,0.06902086734771729,1.3041480779647827,0.036941580756013746,0.988163884673748,43.0,1121.0,3256.0,39.0
12,0.7535321712493896,0.6411076188087463,0.6810015439987183,0.03898458927869797,0.5243902206420898,0.7578250169754028,0.07257384061813354,1.300130844116211,0.038984587488667274,0.9883790226460072,43.0,1060.0,3317.0,39.0
13,0.7681094408035278,0.642549455165863,0.6835286617279053,0.04054053872823715,0.5121951103210449,0.7729038000106812,0.07513416558504105,1.2965704202651978,0.04054054054054054,0.988314344142565,42.0,994.0,3383.0,40.0
14,0.7833594679832458,0.6503173112869263,0.685824453830719,0.043388430029153824,0.5121951103210449,0.7884395718574524,0.08000000566244125,1.2933005094528198,0.04338842975206612,0.9885419650529934,42.0,926.0,3451.0,40.0
15,0.7934514284133911,0.6554578542709351,0.6882511973381042,0.04550379142165184,0.5121951103210449,0.7987205982208252,0.0835820883512497,1.2900712490081787,0.04550379198266522,0.9886877828054299,42.0,881.0,3496.0,40.0
16,0.7981610298156738,0.6578567624092102,0.6912853717803955,0.04656319320201874,0.5121951103210449,0.8035184144973755,0.08536585420370102,1.2861747741699219,0.04656319290465632,0.9887545684565645,42.0,860.0,3517.0,40.0
17,0.8039919137954712,0.6488602161407471,0.692951500415802,0.0458715595304966,0.4878048896789551,0.8099154829978943,0.0838574469089508,1.2825654745101929,0.045871559633027525,0.9882910510175634,40.0,832.0,3545.0,42.0
18,0.8131868243217468,0.6415770649909973,0.6950077414512634,0.045949213206768036,0.46341463923454285,0.8197395205497742,0.08360835909843445,1.2799879312515259,0.045949214026602174,0.987885462555066,38.0,789.0,3588.0,44.0
19,0.8183448910713196,0.6442044377326965,0.6970499753952026,0.04726368188858032,0.46341463923454285,0.8249942660331726,0.08577878773212433,1.2775087356567383,0.0472636815920398,0.9879616963064295,38.0,766.0,3611.0,44.0
20,0.8322494029998779,0.6453036069869995,0.6997665166854858,0.05000000074505806,0.45121949911117554,0.8393877148628235,0.09002432972192764,1.275453805923462,0.05,0.9878999731110514,37.0,703.0,3674.0,45.0
21,0.8376317620277405,0.6480451822280884,0.702438473701477,0.05167597904801369,0.45121949911117554,0.844870924949646,0.09273182600736618,1.2724883556365967,0.051675977653631286,0.9879775581084691,37.0,679.0,3698.0,45.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: 
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220401-1523
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
