epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.7228078044404574,0.5122326261144003,0.5122326261144003,0.7228078044404574,0.7228078044404574,0.7228078044404573,0.0
1,0.7187710248934739,0.5082090046633213,0.5082090046633213,0.7187710248934739,0.7187710248934739,0.7187710248934738,0.0
2,0.7183224938326979,0.5076537346917834,0.5076537346917834,0.7183224938326979,0.7183224938326979,0.7183224938326979,0.0
3,0.7201166180758017,0.5101182666511256,0.5101182666511257,0.7201166180758017,0.7201166180758017,0.7201166180758017,0.0
4,0.7205651491365777,0.510916988695854,0.510916988695854,0.7205651491365777,0.7205651491365777,0.7205651491365778,0.0
5,0.7189952904238619,0.5069042011733518,0.5069042011733519,0.7189952904238619,0.7189952904238619,0.7189952904238619,0.0
6,0.71809822830231,0.5067674695230382,0.5067674695230382,0.71809822830231,0.71809822830231,0.71809822830231,0.0
7,0.7203408836061898,0.5100307235271087,0.5100307235271087,0.7203408836061898,0.7203408836061898,0.7203408836061898,0.0
8,0.7192195559542498,0.5077904663420971,0.5077904663420971,0.7192195559542498,0.7192195559542498,0.7192195559542498,0.0
9,0.7198923525454137,0.5085016452628087,0.5085016452628087,0.7198923525454137,0.7198923525454137,0.7198923525454136,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_2
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
