epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.7192195559542498,0.5082773704884782,0.5082773704884782,0.7192195559542498,0.7192195559542498,0.7192195559542498,0.0
1,0.7203408836061898,0.5093003673075371,0.509300367307537,0.7203408836061898,0.7203408836061898,0.7203408836061898,0.0
2,0.7160798385288181,0.5041470286145223,0.5041470286145223,0.7160798385288181,0.7160798385288181,0.7160798385288181,0.0
3,0.7196680870150258,0.5071284759476823,0.5071284759476823,0.7196680870150258,0.7196680870150258,0.7196680870150258,0.0
4,0.7214622112581296,0.5115406244925488,0.5115406244925488,0.7214622112581296,0.7214622112581296,0.7214622112581295,0.0
5,0.7192195559542498,0.5070601101225255,0.5070601101225255,0.7192195559542498,0.7192195559542498,0.7192195559542498,0.0
6,0.7185467593630859,0.5087834519337192,0.5087834519337193,0.7185467593630859,0.7185467593630859,0.7185467593630858,0.0
7,0.7185467593630859,0.5061054791286234,0.5061054791286234,0.7185467593630859,0.7185467593630859,0.7185467593630858,0.0
8,0.7192195559542498,0.5077904663420971,0.5077904663420971,0.7192195559542498,0.7192195559542498,0.7192195559542498,0.0
9,0.7207894146669657,0.5093687331326939,0.5093687331326939,0.7207894146669657,0.7207894146669657,0.7207894146669657,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_2
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
