epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.27184902269153,0.5199602992157165,0.5199602992157165,0.27184902269153,0.27184902269153,0.27184902269153,1.0740251647077728
1,0.36306447989215906,0.5613054946825111,0.5613054946825111,0.36306447989215906,0.36306447989215906,0.36306447989215906,1.0595086881459508
2,0.42372500561671533,0.5855984538060288,0.5855984538060288,0.42372500561671533,0.42372500561671533,0.42372500561671533,1.0449695577527292
3,0.46236800718939564,0.6020390698673397,0.6020390698673397,0.46236800718939564,0.46236800718939564,0.46236800718939564,1.032556986252324
4,0.5059537182655583,0.617449551814054,0.6174495518140539,0.5059537182655583,0.5059537182655583,0.5059537182655583,1.020028505975939
5,0.5230285329139519,0.6260038459086044,0.6260038459086044,0.5230285329139519,0.5230285329139519,0.5230285329139519,1.0107396300648017
6,0.5567288249831499,0.6395363990974755,0.6395363990974756,0.5567288249831499,0.5567288249831499,0.5567288249831499,1.0002661759378237
7,0.5693102673556504,0.6435077360037675,0.6435077360037675,0.5693102673556504,0.5693102673556504,0.5693102673556504,0.9911627585412784
8,0.5884070995281959,0.6491195688286758,0.6491195688286758,0.5884070995281959,0.5884070995281959,0.5884070995281959,0.9821785823233038
9,0.6061559200179735,0.6561460706962572,0.6561460706962572,0.6061559200179735,0.6061559200179735,0.6061559200179735,0.9743527999579158
10,0.614243990114581,0.656190816578797,0.656190816578797,0.614243990114581,0.614243990114581,0.614243990114581,0.9679506295352265
11,0.6248034149629297,0.662120065507972,0.6621200655079721,0.6248034149629297,0.6248034149629297,0.6248034149629297,0.9628058745788286
12,0.6313188047629746,0.6654014768378532,0.6654014768378532,0.6313188047629746,0.6313188047629746,0.6313188047629746,0.9583208380631527
13,0.6405302179285554,0.6632280854243644,0.6632280854243643,0.6405302179285554,0.6405302179285554,0.6405302179285554,0.9540391473410588
14,0.6436755785216806,0.6688975285730425,0.6688975285730426,0.6436755785216806,0.6436755785216806,0.6436755785216806,0.9510368550166194
15,0.647270276342395,0.6682975142543601,0.6682975142543601,0.647270276342395,0.647270276342395,0.647270276342395,0.948037629335102
16,0.6596270501011009,0.6731062983185616,0.6731062983185616,0.6596270501011009,0.6596270501011009,0.6596270501011009,0.9449495066432165
17,0.6600763873286902,0.6747132348252729,0.6747132348252729,0.6600763873286902,0.6600763873286902,0.6600763873286902,0.942920024775945
18,0.6654684340597619,0.6723363894771108,0.6723363894771108,0.6654684340597619,0.6654684340597619,0.6654684340597619,0.9406836473214134
19,0.6715344866322175,0.6746672304647867,0.6746672304647866,0.6715344866322175,0.6715344866322175,0.6715344866322175,0.9389848772242424
20,0.6744551786115479,0.6765795576198324,0.6765795576198324,0.6744551786115479,0.6744551786115479,0.6744551786115479,0.9373771876792292
21,0.6715344866322175,0.6786054274518227,0.6786054274518226,0.6715344866322175,0.6715344866322175,0.6715344866322175,0.9360467681336874
22,0.6735565041563694,0.6766475154289396,0.6766475154289396,0.6735565041563694,0.6735565041563694,0.6735565041563694,0.9346906980984515
23,0.6735565041563694,0.6763193323466866,0.6763193323466867,0.6735565041563694,0.6735565041563694,0.6735565041563694,0.9338057566587972
24,0.6825432487081555,0.6762961204201191,0.676296120420119,0.6825432487081555,0.6825432487081555,0.6825432487081555,0.9331330083430991
25,0.6762525275219052,0.6757872758371115,0.6757872758371115,0.6762525275219052,0.6762525275219052,0.6762525275219052,0.9319640599739616
26,0.6852392720736913,0.677733162404062,0.677733162404062,0.6852392720736913,0.6852392720736913,0.6852392720736913,0.9314932958013922
27,0.6872612895978432,0.676431616545685,0.6764316165456851,0.6872612895978432,0.6872612895978432,0.6872612895978432,0.9309876199470603
28,0.6818692428667715,0.6778239126470881,0.6778239126470882,0.6818692428667715,0.6818692428667715,0.6818692428667715,0.9295898697855657
29,0.6895079757357897,0.6775744543519286,0.6775744543519286,0.6895079757357897,0.6895079757357897,0.6895079757357897,0.929581862270725
30,0.6886093012806112,0.67698604599653,0.67698604599653,0.6886093012806112,0.6886093012806112,0.6886093012806112,0.9290147871581613
31,0.6863626151426646,0.6791250390128163,0.6791250390128163,0.6863626151426646,0.6863626151426646,0.6863626151426646,0.9281982291001606
32,0.6910806560323522,0.6766350704803582,0.6766350704803582,0.6910806560323522,0.6910806560323522,0.6910806560323522,0.9282112338812604
33,0.6908559874185576,0.6778007007205206,0.6778007007205207,0.6908559874185576,0.6908559874185576,0.6908559874185576,0.9276164448025839
34,0.69579869692204,0.676442383523671,0.676442383523671,0.69579869692204,0.69579869692204,0.69579869692204,0.9279521480603963
35,0.6944506852392721,0.6772006864018382,0.6772006864018382,0.6944506852392721,0.6944506852392721,0.6944506852392721,0.927581327982394
36,0.6960233655358347,0.6756049363657617,0.6756049363657617,0.6960233655358347,0.6960233655358347,0.6960233655358347,0.9274407807650643
37,0.6978207144461919,0.6774381192410651,0.677438119241065,0.6978207144461919,0.6978207144461919,0.6978207144461919,0.9269434125889996
38,0.7007414064255224,0.6750840663268216,0.6750840663268218,0.7007414064255224,0.7007414064255224,0.7007414064255224,0.9279251322819044
39,0.6996180633565491,0.6746767389648264,0.6746767389648265,0.6996180633565491,0.6996180633565491,0.6996180633565491,0.9273743983659111
40,0.6940013480116828,0.6785473976354038,0.6785473976354038,0.6940013480116828,0.6940013480116828,0.6940013480116828,0.9254587006419095
41,0.7083801392945406,0.6761473403606741,0.6761473403606741,0.7083801392945406,0.7083801392945406,0.7083801392945405,0.9290746230518369
42,0.7014154122669063,0.6755253725933708,0.6755253725933706,0.7014154122669063,0.7014154122669063,0.7014154122669063,0.9274386542061716
