epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.45682889223098755,0.48399338126182556,0.5009946823120117,0.017326733097434044,0.5121951103210449,0.4557916522026062,0.03351955488324165,1.41664719581604,0.017326732673267328,0.9803439803439803,42.0,2382.0,1995.0,40.0
1,0.4182552099227905,0.5361451506614685,0.5378614664077759,0.020610686391592026,0.6585366129875183,0.4137537181377411,0.03997039049863815,1.415427327156067,0.020610687022900764,0.9847743338771071,54.0,2566.0,1811.0,28.0
2,0.5445166826248169,0.5585752725601196,0.5663710832595825,0.02300538495182991,0.5731707215309143,0.5439798831939697,0.04423529654741287,1.4145560264587402,0.023005384238864415,0.9855132450331126,47.0,1996.0,2381.0,35.0
3,0.7887418866157532,0.5752756595611572,0.583897590637207,0.03159041330218315,0.353658527135849,0.7968928217887878,0.058000002056360245,1.4142688512802124,0.03159041394335512,0.9850324767014967,29.0,889.0,3488.0,53.0
4,0.8661134839057922,0.5548529624938965,0.5954560041427612,0.03435804694890976,0.23170731961727142,0.8779986500740051,0.05984251946210861,1.4138388633728027,0.034358047016274866,0.9838709677419355,19.0,534.0,3843.0,63.0
5,0.9520071744918823,0.5088545083999634,0.6065756678581238,0.02857142873108387,0.04878048598766327,0.9689285159111023,0.036036036908626556,1.4138479232788086,0.02857142857142857,0.9819402639499885,4.0,136.0,4241.0,78.0
6,0.969724178314209,0.5059123039245605,0.6126704216003418,0.035087719559669495,0.024390242993831635,0.9874343276023865,0.028776979073882103,1.413787603378296,0.03508771929824561,0.9818264425261245,2.0,55.0,4322.0,80.0
7,0.9735366702079773,0.5018709301948547,0.6186440587043762,0.02631578966975212,0.012195121496915817,0.9915467500686646,0.01666666567325592,1.4134387969970703,0.02631578947368421,0.9816783533137299,1.0,37.0,4340.0,81.0
8,0.97824627161026,0.49828648567199707,0.6228219270706177,0.0,0.0,0.9965729713439941,0.0,1.4133633375167847,0.0,0.9815481548154815,0.0,15.0,4362.0,82.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_3000
table: compare_n
table_extra: 3000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 8082
run_name: CNN_20220216-1201
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_3000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_3000\CNN
