epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.7535816618911175,0.7544611904274356,0.7544611904274356,0.7535816618911175,0.7535816618911175,0.7535816618911175,0.6902831459796873
1,0.7765042979942693,0.7765671196755293,0.7765671196755293,0.7765042979942693,0.7765042979942693,0.7765042979942693,0.6162083780868005
2,0.7793696275071633,0.7794503232441736,0.7794503232441738,0.7793696275071633,0.7793696275071633,0.7793696275071633,0.5517590336266767
3,0.7815186246418339,0.7817392317376151,0.7817392317376152,0.7815186246418339,0.7815186246418339,0.7815186246418339,0.5119953491540898
4,0.7833094555873925,0.783604486876497,0.7836044868764969,0.7833094555873925,0.7833094555873925,0.7833094555873925,0.4895104320138095
5,0.7876074498567335,0.7879205676903631,0.7879205676903631,0.7876074498567335,0.7876074498567335,0.7876074498567335,0.4764475966336734
6,0.7919054441260746,0.7921494031132235,0.7921494031132235,0.7919054441260746,0.7919054441260746,0.7919054441260746,0.4672288696967428
7,0.7936962750716332,0.793979760095703,0.793979760095703,0.7936962750716332,0.7936962750716332,0.7936962750716331,0.46018785024782305
8,0.7976361031518625,0.7978547384768084,0.7978547384768083,0.7976361031518625,0.7976361031518625,0.7976361031518625,0.4545211029855433
9,0.7979942693409742,0.7981911464403624,0.7981911464403624,0.7979942693409742,0.7979942693409742,0.7979942693409741,0.4496809514853196
10,0.8008595988538681,0.8010394518526045,0.8010394518526046,0.8008595988538681,0.8008595988538681,0.8008595988538683,0.44572325215213277
11,0.8008595988538681,0.8009958291571018,0.8009958291571018,0.8008595988538681,0.8008595988538681,0.8008595988538683,0.44204219133942724
12,0.8019340974212035,0.802162094751574,0.802162094751574,0.8019340974212035,0.8019340974212035,0.8019340974212034,0.4388295530547044
13,0.8058739255014327,0.8060545222108804,0.8060545222108804,0.8058739255014327,0.8058739255014327,0.8058739255014327,0.43610769258358417
14,0.8083810888252149,0.8085489705813673,0.8085489705813673,0.8083810888252149,0.8083810888252149,0.8083810888252149,0.4336624012507477
15,0.8080229226361032,0.8081776644614111,0.8081776644614111,0.8080229226361032,0.8080229226361032,0.8080229226361032,0.43148202816275266
16,0.8090974212034384,0.8092392355866764,0.8092392355866764,0.8090974212034384,0.8090974212034384,0.8090974212034384,0.429555631127945
17,0.8094555873925502,0.8096018171675321,0.8096018171675322,0.8094555873925502,0.8094555873925502,0.8094555873925501,0.42762076587851205
18,0.8108882521489972,0.8109997962563515,0.8109997962563517,0.8108882521489972,0.8108882521489972,0.8108882521489972,0.4260041452197086
19,0.8119627507163324,0.8120700919207176,0.8120700919207176,0.8119627507163324,0.8119627507163324,0.8119627507163324,0.42442757214678395
20,0.8141117478510028,0.8142194077885501,0.8142194077885501,0.8141117478510028,0.8141117478510028,0.8141117478510027,0.42279908003386935
21,0.8144699140401146,0.814616887525808,0.814616887525808,0.8144699140401146,0.8144699140401146,0.8144699140401145,0.4212386427943549
22,0.8162607449856734,0.8163687236563825,0.8163687236563825,0.8162607449856734,0.8162607449856734,0.8162607449856734,0.42008309918095527
23,0.8169770773638968,0.8171200604353955,0.8171200604353956,0.8169770773638968,0.8169770773638968,0.8169770773638968,0.4188443363716233
24,0.8191260744985673,0.8192257536077252,0.8192257536077253,0.8191260744985673,0.8191260744985673,0.8191260744985673,0.4179080370119786
25,0.8166189111747851,0.8168011015500427,0.8168011015500426,0.8166189111747851,0.8166189111747851,0.8166189111747851,0.4166443436846863
26,0.8184097421203438,0.8185703867588183,0.8185703867588183,0.8184097421203438,0.8184097421203438,0.8184097421203438,0.4157668609588399
27,0.8205587392550143,0.8206586308529469,0.8206586308529469,0.8205587392550143,0.8205587392550143,0.8205587392550143,0.4149543429727541
28,0.8205587392550143,0.8207284271657513,0.8207284271657515,0.8205587392550143,0.8205587392550143,0.8205587392550143,0.41400151161802534
29,0.8227077363896849,0.8228253957989805,0.8228253957989805,0.8227077363896849,0.8227077363896849,0.8227077363896849,0.4131490010714804
30,0.8223495702005731,0.8224540896790242,0.8224540896790241,0.8223495702005731,0.8223495702005731,0.8223495702005731,0.4124008441359915
31,0.8237822349570201,0.8238956914633464,0.8238956914633464,0.8237822349570201,0.8237822349570201,0.8237822349570202,0.41178190442373214
32,0.8259312320916905,0.8261060791048829,0.8261060791048828,0.8259312320916905,0.8259312320916905,0.8259312320916905,0.4109910354978888
33,0.8255730659025788,0.8257085993676249,0.8257085993676249,0.8255730659025788,0.8255730659025788,0.8255730659025788,0.41026903963234157
34,0.8255730659025788,0.8256911502894237,0.8256911502894239,0.8255730659025788,0.8255730659025788,0.8255730659025788,0.40969624979832453
35,0.8284383954154728,0.8285220066234649,0.8285220066234649,0.8284383954154728,0.8284383954154728,0.8284383954154728,0.4091833373131417
36,0.8277220630372493,0.827884088852759,0.827884088852759,0.8277220630372493,0.8277220630372493,0.8277220630372493,0.4083673656627237
37,0.8277220630372493,0.827866639774558,0.827866639774558,0.8277220630372493,0.8277220630372493,0.8277220630372493,0.407684102937323
38,0.8277220630372493,0.8278579152354573,0.8278579152354573,0.8277220630372493,0.8277220630372493,0.8277220630372493,0.40737192845639153
39,0.829512893982808,0.8296795476788363,0.8296795476788364,0.829512893982808,0.829512893982808,0.829512893982808,0.4066929911986463
40,0.8291547277936963,0.8292907924806789,0.8292907924806789,0.8291547277936963,0.8291547277936963,0.8291547277936963,0.4063453919822644
41,0.8287965616045845,0.8289369354389239,0.8289369354389239,0.8287965616045845,0.8287965616045845,0.8287965616045846,0.4059181250738551
