epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6357927786499215,0.6067266359251917,0.6067266359251917,0.6357927786499215,0.6357927786499215,0.6357927786499215,0.0
1,0.6178515362188831,0.590017060821274,0.5900170608212741,0.6178515362188831,0.6178515362188831,0.6178515362188831,0.0
2,0.6183000672796591,0.5896517648043338,0.5896517648043338,0.6183000672796591,0.6183000672796591,0.6183000672796591,0.0
3,0.6191971294012111,0.5909459915684511,0.5909459915684511,0.6191971294012111,0.6191971294012111,0.6191971294012111,0.0
4,0.6165059430365553,0.5891514056615345,0.5891514056615345,0.6165059430365553,0.6165059430365553,0.6165059430365553,0.0
5,0.6200941915227629,0.5923034939200057,0.5923034939200057,0.6200941915227629,0.6200941915227629,0.6200941915227629,0.0
6,0.6265978919040144,0.599978197099045,0.599978197099045,0.6265978919040144,0.6265978919040144,0.6265978919040144,0.0
7,0.6176272706884952,0.5887443703186834,0.5887443703186834,0.6176272706884952,0.6176272706884952,0.6176272706884952,0.0
8,0.6216640502354788,0.5929865010712752,0.5929865010712752,0.6216640502354788,0.6216640502354788,0.6216640502354788,0.0
9,0.6227853778874187,0.5944144577641094,0.5944144577641095,0.6227853778874187,0.6227853778874187,0.6227853778874187,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
