epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6169544740973313,0.5882799049450949,0.5882799049450949,0.6169544740973313,0.6169544740973313,0.6169544740973313,0.0
1,0.6288405472078942,0.6001765358123416,0.6001765358123416,0.6288405472078942,0.6288405472078942,0.6288405472078942,0.0
2,0.6263736263736264,0.5988953333587667,0.5988953333587667,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0
3,0.6158331464453913,0.5853966097411998,0.5853966097411998,0.6158331464453913,0.6158331464453913,0.6158331464453913,0.0
4,0.6162816775061672,0.5881950930961309,0.5881950930961309,0.6162816775061672,0.6162816775061672,0.6162816775061672,0.0
5,0.6209912536443148,0.5937242718589978,0.5937242718589978,0.6209912536443148,0.6209912536443148,0.6209912536443148,0.0
6,0.6209912536443148,0.591826004235875,0.591826004235875,0.6209912536443148,0.6209912536443148,0.6209912536443148,0.0
7,0.6178515362188831,0.5894475805343372,0.5894475805343372,0.6178515362188831,0.6178515362188831,0.6178515362188831,0.0
8,0.609105180533752,0.5815745386420013,0.5815745386420013,0.609105180533752,0.609105180533752,0.609105180533752,0.0
9,0.6216640502354788,0.5936825325330869,0.5936825325330869,0.6216640502354788,0.6216640502354788,0.6216640502354788,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
