epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
1,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
2,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
3,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
4,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
5,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
6,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
7,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
8,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0
9,0.6277192195559542,0.5898267212908301,0.5898267212908301,0.6277192195559542,0.6277192195559542,0.6277192195559542,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: none
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
