epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6227853778874187,0.598653922122417,0.598653922122417,0.6227853778874187,0.6227853778874187,0.6227853778874187,0.0
1,0.6279434850863422,0.6027421198819074,0.6027421198819074,0.6279434850863422,0.6279434850863422,0.6279434850863422,0.0
2,0.619645660461987,0.5948834354972559,0.5948834354972559,0.619645660461987,0.619645660461987,0.619645660461987,0.0
3,0.6216640502354788,0.5962768316180214,0.5962768316180214,0.6216640502354788,0.6216640502354788,0.6216640502354788,0.0
4,0.6106750392464678,0.5864970101515783,0.5864970101515784,0.6106750392464678,0.6106750392464678,0.6106750392464678,0.0
5,0.6095537115945279,0.5842464708220576,0.5842464708220576,0.6095537115945279,0.6095537115945279,0.6095537115945279,0.0
6,0.6129176945503476,0.587138277976937,0.587138277976937,0.6129176945503476,0.6129176945503476,0.6129176945503476,0.0
7,0.6272706884951783,0.6021511033334441,0.602151103333444,0.6272706884951783,0.6272706884951783,0.6272706884951783,0.0
8,0.6263736263736264,0.6011099789190766,0.6011099789190766,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0
9,0.6286162816775062,0.6021309002690597,0.6021309002690597,0.6286162816775062,0.6286162816775062,0.6286162816775062,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: none
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
