epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.618748598340435,0.5951710984190743,0.5951710984190743,0.618748598340435,0.618748598340435,0.618748598340435,0.0
1,0.6223368468266427,0.5969943993413596,0.5969943993413596,0.6223368468266427,0.6223368468266427,0.6223368468266427,0.0
2,0.6286162816775062,0.6039026167173076,0.6039026167173076,0.6286162816775062,0.6286162816775062,0.6286162816775062,0.0
3,0.6236824400089707,0.5995684953619097,0.5995684953619097,0.6236824400089707,0.6236824400089707,0.6236824400089707,0.0
4,0.6257008297824624,0.6010251670701127,0.6010251670701127,0.6257008297824624,0.6257008297824624,0.6257008297824624,0.0
5,0.6147118187934515,0.5901696606172333,0.5901696606172333,0.6147118187934515,0.6147118187934515,0.6147118187934515,0.0
6,0.6212155191747029,0.5972116079218984,0.5972116079218984,0.6212155191747029,0.6212155191747029,0.6212155191747029,0.0
7,0.6126934290199596,0.5892191936085298,0.5892191936085298,0.6126934290199596,0.6126934290199596,0.6126934290199596,0.0
8,0.6191971294012111,0.5943628732900721,0.5943628732900721,0.6191971294012111,0.6191971294012111,0.6191971294012111,0.0
9,0.6178515362188831,0.592231706381584,0.592231706381584,0.6178515362188831,0.6178515362188831,0.6178515362188831,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: none
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
