epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6174030051581072,0.5920275221115874,0.5920275221115874,0.6174030051581072,0.6174030051581072,0.6174030051581072,0.0
1,0.6174030051581072,0.5919009709367125,0.5919009709367125,0.6174030051581072,0.6174030051581072,0.6174030051581072,0.0
2,0.6205427225835389,0.5947223237503123,0.5947223237503122,0.6205427225835389,0.6205427225835389,0.6205427225835389,0.0
3,0.6218883157658668,0.5972964197708623,0.5972964197708623,0.6218883157658668,0.6218883157658668,0.6218883157658668,0.0
4,0.6207669881139269,0.5950458804413417,0.5950458804413415,0.6207669881139269,0.6207669881139269,0.6207669881139269,0.0
5,0.6295133437990581,0.6038047805578015,0.6038047805578015,0.6295133437990581,0.6295133437990581,0.6295133437990581,0.0
6,0.6147118187934515,0.5897900070926088,0.5897900070926089,0.6147118187934515,0.6147118187934515,0.6147118187934515,0.0
7,0.618748598340435,0.5946016181321374,0.5946016181321374,0.618748598340435,0.618748598340435,0.618748598340435,0.0
8,0.6257008297824624,0.5996963797339266,0.5996963797339266,0.6257008297824624,0.6257008297824624,0.6257008297824624,0.0
9,0.6203184570531509,0.5954111764582818,0.5954111764582818,0.6203184570531509,0.6203184570531509,0.6203184570531509,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: none
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
