epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
64,0.8467391133308411,0.8433375358581543,0.9205746650695801,0.7807726860046387,0.8291984796524048,0.8042572736740112,0.44065696001052856,0.7807726864330637,0.891317547055252,869.0,244.0,1468.0,179.0
65,0.8492753505706787,0.8446418046951294,0.9207034111022949,0.7877960205078125,0.8253816962242126,0.8061509728431702,0.44185563921928406,0.7877959927140255,0.8898916967509025,865.0,233.0,1479.0,183.0
66,0.8478260636329651,0.8440287113189697,0.9208004474639893,0.7833935022354126,0.8282442688941956,0.8051947951316833,0.4410899877548218,0.7833935018050542,0.8910411622276029,868.0,240.0,1472.0,180.0
67,0.8492753505706787,0.8457520008087158,0.9208422899246216,0.7846846580505371,0.8311068415641785,0.8072288632392883,0.44151419401168823,0.7846846846846847,0.8927272727272727,871.0,239.0,1473.0,177.0
68,0.8492753505706787,0.8442716598510742,0.9209564328193665,0.7888482809066772,0.8234732747077942,0.8057889938354492,0.44287773966789246,0.7888482632541134,0.8889555822328932,863.0,231.0,1481.0,185.0
69,0.8496376872062683,0.845488965511322,0.9210573434829712,0.7869446873664856,0.8282442688941956,0.8070665001869202,0.44216370582580566,0.7869446962828649,0.8913699456849729,868.0,235.0,1477.0,180.0
70,0.8489130139350891,0.8445347547531128,0.9211348295211792,0.786557674407959,0.8263359069824219,0.8059563040733337,0.44277423620224,0.7865576748410535,0.890295358649789,866.0,235.0,1477.0,182.0
71,0.8492753505706787,0.8444567322731018,0.9212134480476379,0.7883211970329285,0.8244274854660034,0.8059701919555664,0.4433996379375458,0.7883211678832117,0.8894230769230769,864.0,232.0,1480.0,184.0
72,0.8507246375083923,0.8448847532272339,0.9213287830352783,0.7933579087257385,0.8206107020378113,0.8067542314529419,0.4454326927661896,0.7933579335793358,0.8878281622911695,860.0,224.0,1488.0,188.0
73,0.8485507369041443,0.843872606754303,0.921398401260376,0.7868852615356445,0.8244274854660034,0.8052190542221069,0.4434875547885895,0.7868852459016393,0.8892900120336944,864.0,234.0,1478.0,184.0
74,0.8500000238418579,0.8452259302139282,0.9214458465576172,0.7892335653305054,0.8253816962242126,0.8069030046463013,0.44442272186279297,0.7892335766423357,0.8900240384615384,865.0,231.0,1481.0,183.0
75,0.8500000238418579,0.8467062711715698,0.9215166568756104,0.7850719690322876,0.8330152630805969,0.8083332777023315,0.4430892765522003,0.7850719424460432,0.8938106796116505,873.0,239.0,1473.0,175.0
76,0.8525362610816956,0.8474553227424622,0.921730101108551,0.7937672138214111,0.8263359069824219,0.8097242116928101,0.4458635151386261,0.7937671860678277,0.8909526662672259,866.0,225.0,1487.0,182.0
77,0.8510869741439819,0.8464721441268921,0.921708881855011,0.7903372645378113,0.8272900581359863,0.8083915710449219,0.4449857473373413,0.7903372835004557,0.8911605532170775,867.0,230.0,1482.0,181.0
78,0.8518115878105164,0.8466861844062805,0.921718955039978,0.7928506135940552,0.8253816962242126,0.8087891936302185,0.44634002447128296,0.7928505957836847,0.89035350509287,865.0,226.0,1486.0,183.0
79,0.8510869741439819,0.8464721441268921,0.9218337535858154,0.7903372645378113,0.8272900581359863,0.8083915710449219,0.4456551969051361,0.7903372835004557,0.8911605532170775,867.0,230.0,1482.0,181.0
80,0.8496376872062683,0.8451188802719116,0.921873927116394,0.78798907995224,0.8263359069824219,0.8067070245742798,0.44652897119522095,0.7879890809827116,0.8904274533413606,866.0,233.0,1479.0,182.0
81,0.8510869741439819,0.8464721441268921,0.9219574928283691,0.7903372645378113,0.8272900581359863,0.8083915710449219,0.4468855559825897,0.7903372835004557,0.8911605532170775,867.0,230.0,1482.0,181.0
82,0.85326087474823,0.8476693630218506,0.9219340682029724,0.7963133454322815,0.8244274854660034,0.810126543045044,0.4500531256198883,0.7963133640552995,0.8901492537313432,864.0,221.0,1491.0,184.0
83,0.8514492511749268,0.8462090492248535,0.9220043420791626,0.7926605343818665,0.8244274854660034,0.8082319498062134,0.4497049152851105,0.7926605504587156,0.8898203592814371,864.0,226.0,1486.0,184.0
84,0.8547101616859436,0.8486524820327759,0.9219412803649902,0.7998146414756775,0.8234732747077942,0.8114715218544006,0.4523073732852936,0.7998146431881371,0.8899464604402142,863.0,216.0,1496.0,185.0
85,0.8514492511749268,0.8462090492248535,0.9219306707382202,0.7926605343818665,0.8244274854660034,0.8082319498062134,0.4510485827922821,0.7926605504587156,0.8898203592814371,864.0,226.0,1486.0,184.0
86,0.8528985381126404,0.8471922874450684,0.9219262599945068,0.7961254715919495,0.8234732747077942,0.809568464756012,0.45238196849823,0.7961254612546126,0.889618138424821,863.0,221.0,1491.0,185.0
87,0.8510869741439819,0.8459169864654541,0.9220410585403442,0.7919340133666992,0.8244274854660034,0.807854175567627,0.452044814825058,0.7919340054995417,0.889754343918514,864.0,227.0,1485.0,184.0
88,0.8525362610816956,0.8472702503204346,0.9221274852752686,0.7943066954612732,0.8253816962242126,0.8095461130142212,0.45244187116622925,0.7943067033976124,0.8904847396768402,865.0,224.0,1488.0,183.0
89,0.8485507369041443,0.845167875289917,0.9221102595329285,0.7832733988761902,0.8311068415641785,0.8064814805984497,0.4508568048477173,0.783273381294964,0.8925970873786407,871.0,241.0,1471.0,177.0
90,0.856521725654602,0.8497427701950073,0.9221403002738953,0.80467289686203,0.8215649127960205,0.8130311369895935,0.4570549726486206,0.8046728971962617,0.8893491124260355,861.0,209.0,1503.0,187.0
91,0.8550724387168884,0.8491296172142029,0.9222021698951721,0.800000011920929,0.8244274854660034,0.8120300769805908,0.4562210142612457,0.8,0.8904761904761904,864.0,216.0,1496.0,184.0
92,0.8507246375083923,0.8463650941848755,0.9222361445426941,0.7890909314155579,0.8282442688941956,0.8081936836242676,0.45408305525779724,0.7890909090909091,0.891566265060241,868.0,232.0,1480.0,180.0
93,0.852173924446106,0.8475333452224731,0.9222668409347534,0.7919707894325256,0.8282442688941956,0.8097014427185059,0.4546346068382263,0.791970802919708,0.8918269230769231,868.0,228.0,1484.0,180.0
94,0.8528985381126404,0.8479323983192444,0.9222958087921143,0.7939560413360596,0.8272900581359863,0.8102803230285645,0.45650535821914673,0.7939560439560439,0.8914868105515588,867.0,225.0,1487.0,181.0
95,0.8550724387168884,0.8489445447921753,0.9223476648330688,0.8005566000938416,0.8234732747077942,0.8118532299995422,0.4598817825317383,0.800556586270872,0.8900118906064209,863.0,215.0,1497.0,185.0
96,0.85326087474823,0.848039448261261,0.9224017262458801,0.7952249646186829,0.8263359069824219,0.8104820847511292,0.4587666988372803,0.7952249770431589,0.891083183722322,866.0,223.0,1489.0,182.0
97,0.8536232113838196,0.8477763533592224,0.9224814176559448,0.7975970506668091,0.8234732747077942,0.8103286027908325,0.4603208899497986,0.7975970425138632,0.8897497020262217,863.0,219.0,1493.0,185.0
98,0.854347825050354,0.8483604788780212,0.9225817322731018,0.7990740537643433,0.8234732747077942,0.8110902309417725,0.46140536665916443,0.799074074074074,0.8898809523809523,863.0,217.0,1495.0,185.0
99,0.854347825050354,0.849100649356842,0.9226377010345459,0.796875,0.8272900581359863,0.8117977380752563,0.4612051844596863,0.796875,0.8917464114832536,867.0,221.0,1491.0,181.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 10
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 17822
run_name: CNN_20220124-1547
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\surv_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\surv_mo_60\CNN
