epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6440905928611755,0.6984403729438782,0.8079089522361755,0.8934579491615295,0.503157913684845,0.8937228322029114,0.6437710523605347,0.4830859303474426,0.8934579439252337,0.50385423966363,1434.0,171.0,1438.0,1416.0
1,0.7028481960296631,0.7373689413070679,0.8297470211982727,0.8868594765663147,0.6133333444595337,0.8614045977592468,0.7251607179641724,0.458509236574173,0.8868594622019279,0.5570739549839229,1748.0,223.0,1386.0,1102.0
2,0.7263960242271423,0.7534896731376648,0.840263843536377,0.8862559199333191,0.6561403274536133,0.8508390188217163,0.7540322542190552,0.4283420741558075,0.8862559241706162,0.5828011919965943,1870.0,240.0,1369.0,980.0
3,0.746131420135498,0.7670339345932007,0.8495732545852661,0.8858940005302429,0.691929817199707,0.8421379923820496,0.776989758014679,0.399143785238266,0.8858939802336029,0.606806986117331,1972.0,254.0,1355.0,878.0
4,0.7627270817756653,0.7767688035964966,0.8579034805297852,0.8816013336181641,0.7263157963752747,0.8272218704223633,0.7964601516723633,0.37509486079216003,0.8816013628620102,0.6305068687825675,2070.0,278.0,1331.0,780.0
5,0.7728190422058105,0.7827692031860352,0.8643311262130737,0.879388689994812,0.7470175623893738,0.8185208439826965,0.8078164458274841,0.356170117855072,0.8793886823626601,0.6462217860647694,2129.0,292.0,1317.0,721.0
6,0.7820138931274414,0.7879324555397034,0.8696275949478149,0.8768057823181152,0.7666666507720947,0.809198260307312,0.8180456161499023,0.3426037132740021,0.8768057784911717,0.6619217081850534,2185.0,307.0,1302.0,665.0
7,0.7936757206916809,0.7936724424362183,0.8732975721359253,0.8720123171806335,0.793684184551239,0.7936606407165527,0.8310065865516663,0.33298155665397644,0.8720123361603701,0.6847184986595174,2262.0,332.0,1277.0,588.0
8,0.7963668704032898,0.7961836457252502,0.87616366147995,0.8734615445137024,0.796842098236084,0.7955251932144165,0.8333945274353027,0.32666873931884766,0.8734615384615385,0.6885422270037654,2271.0,329.0,1280.0,579.0
9,0.7997308969497681,0.7980033159255981,0.8787835836410522,0.8724781274795532,0.8042105436325073,0.7917961478233337,0.8369545340538025,0.32210052013397217,0.8724781119147317,0.6954148471615721,2292.0,335.0,1274.0,558.0
