epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5565845945335441,0.5598981045678967,0.5598981045678967,0.5565845945335441,0.5565845945335441,0.5565845945335441,0.6225513627203249
1,0.5721707702733227,0.5597412156625364,0.5597412156625365,0.5721707702733227,0.5721707702733227,0.5721707702733227,0.6194592555649847
2,0.5875310594081771,0.5637143963071399,0.5637143963071398,0.5875310594081771,0.5875310594081771,0.5875310594081771,0.6158240639048514
3,0.5936299977411339,0.5672096011068697,0.5672096011068697,0.5936299977411339,0.5936299977411339,0.5936299977411339,0.6162915064705362
4,0.5940817709509826,0.5697061318443299,0.5697061318443299,0.5940817709509826,0.5940817709509826,0.5940817709509826,0.6219096190209011
5,0.5864016263835554,0.5659976240184148,0.5659976240184148,0.5864016263835554,0.5864016263835554,0.5864016263835554,0.6285141389146983
6,0.5773661621865823,0.5593913039897549,0.5593913039897549,0.5773661621865823,0.5773661621865823,0.5773661621865823,0.6445232797012055
7,0.577140275581658,0.5595673407536432,0.5595673407536432,0.577140275581658,0.577140275581658,0.577140275581658,0.6687887396743829
8,0.5721707702733227,0.5605065123308091,0.5605065123308091,0.5721707702733227,0.5721707702733227,0.5721707702733227,0.6998296315721471
9,0.5730743166930201,0.5657546726951537,0.5657546726951537,0.5730743166930201,0.5730743166930201,0.5730743166930201,0.7167148890255166

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: infos
bidirectional: False
num_layers: 2
hidden_dim: 256
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
