Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20220212-2259,20220212-2308,see_counselling,SCAR_NLP,BoW,dsplnic_SOCIALWORK_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,0.0,1.0,,5.0,loss_weight,0.6620318293571472,0.6643515229225159,0.6643515229225159,0.4750957489013672,0.6686274409294128,0.3684494793415069,0.6600756049156189,0.3684494867639114,0.870398773006135,682.0,2270.0,1169.0,338.0,BoW & 0.66 & 0.66 & 0.66 & 0.48 & 0.37 & 0.67 \\,
,CNN_20220212-2309,20220213-0003,see_counselling,SCAR_NLP,CNN,dsplnic_SOCIALWORK_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6972415447235107,0.6795922517776489,0.7498862743377686,0.4943820536136627,0.6470588445663452,0.4000000059604645,0.7121255993843079,0.4,0.8718405126379495,660.0,2449.0,990.0,360.0,CNN & 0.7 & 0.68 & 0.75 & 0.49 & 0.4 & 0.65 \\,
,LSTM_20220213-0003,20220213-0133,see_counselling,SCAR_NLP,LSTM,dsplnic_SOCIALWORK_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,False,100.0,1e-05,5.0,loss_weight,0.556851327419281,0.542373538017273,0.5554336309432983,0.3474240601062774,0.5156862735748291,0.2619521915912628,0.5690608024597168,0.2619521912350597,0.7984496124031008,526.0,1957.0,1482.0,494.0,LSTM & 0.56 & 0.54 & 0.56 & 0.35 & 0.26 & 0.52 \\,
,BERT_20220213-0134,20220213-1821,see_counselling,SCAR_NLP,BERT,dsplnic_SOCIALWORK_60,ppv4,,bert-base-uncased,,,,,,,,,512.0,False,100.0,1e-05,5.0,loss_weight,0.6467818021774292,0.6530857086181641,0.7044540643692017,0.4626407325267792,0.6647058725357056,0.354788064956665,0.6414655447006226,0.354788064956665,0.8657770752906799,678.0,2206.0,1233.0,342.0,BERT & 0.65 & 0.65 & 0.7 & 0.46 & 0.35 & 0.66 \\,
,BoW_20220215-1434,20220215-1442,,SCAR_NLP,BoW,dsplnic_SOCIALWORK_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6620318293571472,0.6643515229225159,0.6643515229225159,0.4750957489013672,0.6686274409294128,0.3684494793415069,0.6600756049156189,0.3684494867639114,0.870398773006135,682.0,2270.0,1169.0,338.0,BoW & 0.66 & 0.66 & 0.66 & 0.48 & 0.37 & 0.67 \\,
,BoW_20220215-1526,20220215-1535,,SCAR_NLP,BoW,dsplnic_SOCIALWORK_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6620318293571472,0.6643515229225159,0.6643515229225159,0.4750957489013672,0.6686274409294128,0.3684494793415069,0.6600756049156189,0.3684494867639114,0.870398773006135,682.0,2270.0,1169.0,338.0,BoW & 0.66 & 0.66 & 0.66 & 0.48 & 0.37 & 0.67 \\,
,LSTM_20220221-2233,20220222-1203,see_counselling,SCAR_NLP,LSTM,dsplnic_SOCIALWORK_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,1.0,512.0,True,,False,100.0,1e-05,5.0,loss_weight,0.6804215908050537,0.6817904710769653,0.7457939386367798,0.4948599636554718,0.6843137145042419,0.38756245374679565,0.6792672276496887,0.3875624652970572,0.8788562829194884,698.0,2336.0,1103.0,322.0,LSTM & 0.68 & 0.68 & 0.75 & 0.49 & 0.39 & 0.68 \\,
