Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20220209-0951,20220209-1000,need_emots_dif_n,SCAR_NLP,BoW,need_emots_4,ppv4,,,,,l2logreg,0.2,,,,,5000.0,0.0,1.0,,5.0,loss_weight,0.6920834183692932,0.6634165048599243,0.6634165644645691,0.1783363074064254,0.6313559412956238,0.1038327515125274,0.6954771280288696,0.1038327526132404,0.9712301587301588,149.0,2937.0,1286.0,87.0,BoW & 0.69 & 0.66 & 0.66 & 0.18 & 0.63 & 0.7 \\,
,CNN_20220209-1305,20220209-1353,need_emots_dif_n,SCAR_NLP,CNN,need_emots_4,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.7885175943374634,0.6363186836242676,0.7190927863121033,0.1891659349203109,0.4661017060279846,0.1186623498797416,0.8065356612205505,0.1186623516720604,0.964326160815402,110.0,3406.0,817.0,126.0,CNN & 0.79 & 0.64 & 0.72 & 0.19 & 0.47 & 0.81 \\,
,BoW_20220209-1728,20220209-1736,need_emots_dif_n,SCAR_NLP,BoW,need_emots_4,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6920834183692932,0.6634165048599243,0.6634165644645691,0.1783363074064254,0.6313559412956238,0.1038327515125274,0.6954771280288696,0.1038327526132404,0.9712301587301588,149.0,2937.0,1286.0,87.0,BoW & 4 & 0.69 & 0.66 & 0.66 & 0.18 & 0.63 & 0.7 \\,4.0
,CNN_20220209-2051,20220209-2138,need_emots_dif_n,SCAR_NLP,CNN,need_emots_4,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.7665395736694336,0.6487184762954712,0.7287362813949585,0.1898832768201828,0.5169491767883301,0.1163012385368347,0.7804877758026123,0.1163012392755004,0.9665689149560116,122.0,3296.0,927.0,114.0,CNN & 4 & 0.77 & 0.65 & 0.73 & 0.19 & 0.52 & 0.78 \\,4.0
,BoW_20220213-2330,20220213-2338,need_emots_all_models,SCAR_NLP,BoW,need_emots_4,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6920834183692932,0.6634165048599243,0.6634165644645691,0.1783363074064254,0.6313559412956238,0.1038327515125274,0.6954771280288696,0.1038327526132404,0.9712301587301588,149.0,2937.0,1286.0,87.0,BoW & 0.69 & 0.66 & 0.66 & 0.18 & 0.1 & 0.63 \\,
,CNN_20220213-2338,20220214-0003,need_emots_all_models,SCAR_NLP,CNN,need_emots_4,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6853554844856262,0.6298608779907227,0.6698788404464722,0.1603830009698867,0.5677965879440308,0.0933797881007194,0.6919251680374146,0.0933797909407665,0.9662698412698412,134.0,2922.0,1301.0,102.0,CNN & 0.69 & 0.63 & 0.67 & 0.16 & 0.09 & 0.57 \\,
,LSTM_20220214-0003,20220214-0105,need_emots_all_models,SCAR_NLP,LSTM,need_emots_4,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,False,100.0,1e-05,5.0,loss_weight,0.5588697195053101,0.5510822534561157,0.5653307437896729,0.1151596829295158,0.5423728823661804,0.0644187182188034,0.559791624546051,0.0644187216909914,0.9563106796116504,128.0,2364.0,1859.0,108.0,LSTM & 0.56 & 0.55 & 0.57 & 0.12 & 0.06 & 0.54 \\,
,BERT_20220214-0109,20220214-2113,need_emots_all_models,SCAR_NLP,BERT,need_emots_4,ppv4,,bert-base-uncased,,,,,,,,,512.0,False,100.0,1e-05,5.0,loss_weight,0.638708233833313,0.6572402119636536,0.7090128064155579,0.1657172441482544,0.6779661178588867,0.0943952798843383,0.6365143060684204,0.0943952798843383,0.9725036025047302,160.0,2688.0,1535.0,76.0,BERT & 0.64 & 0.66 & 0.71 & 0.17 & 0.09 & 0.68 \\,
,BoW_20220215-1550,20220215-1558,,SCAR_NLP,BoW,need_emots_4,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6920834183692932,0.6634165048599243,0.6634165644645691,0.1783363074064254,0.6313559412956238,0.1038327515125274,0.6954771280288696,0.1038327526132404,0.9712301587301588,149.0,2937.0,1286.0,87.0,BoW & 0.69 & 0.66 & 0.66 & 0.18 & 0.1 & 0.63 \\,
,BoW_20220215-2222,20220215-2230,need_emots_dif_n,SCAR_NLP,BoW,need_emots_4,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6920834183692932,0.6634165048599243,0.6634165644645691,0.1783363074064254,0.6313559412956238,0.1038327515125274,0.6954771280288696,0.1038327526132404,0.9712301587301588,149.0,2937.0,1286.0,87.0,BoW & 4 & 0.69 & 0.66 & 0.66 & 0.18 & 0.1 & 0.63 \\,4.0
