epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5760108425570364,0.559148376948877,0.559148376948877,0.5760108425570364,0.5760108425570364,0.5760108425570364,0.5919670295372284
1,0.5769143889767336,0.5638712084120212,0.5638712084120211,0.5769143889767336,0.5769143889767336,0.5769143889767336,0.5795862558934328
2,0.5976959566297718,0.5815880454440991,0.5815880454440991,0.5976959566297718,0.5976959566297718,0.5976959566297718,0.5746356458972683
3,0.6234470295911453,0.6013453538371354,0.6013453538371353,0.6234470295911453,0.6234470295911453,0.6234470295911453,0.5674851345930169
4,0.6324824937881184,0.609336853052755,0.609336853052755,0.6324824937881184,0.6324824937881184,0.6324824937881184,0.5644339485991773
5,0.6338378134176643,0.6121366204032148,0.6121366204032148,0.6338378134176643,0.6338378134176643,0.6338378134176643,0.5692520120161043
6,0.6288683081093291,0.6135752755323294,0.6135752755323294,0.6288683081093291,0.6288683081093291,0.6288683081093291,0.5771163639833601
7,0.6200587305172803,0.613062347412211,0.613062347412211,0.6200587305172803,0.6200587305172803,0.6200587305172803,0.5873168631852101
8,0.6232211429862209,0.6129375501687,0.6129375501687001,0.6232211429862209,0.6232211429862209,0.6232211429862209,0.6111971135619733
9,0.6220917099615992,0.6067924048335149,0.6067924048335148,0.6220917099615992,0.6220917099615992,0.6220917099615992,0.6344684666866879
10,0.6168963180483398,0.5988196408170878,0.5988196408170878,0.6168963180483398,0.6168963180483398,0.6168963180483398,0.656027731492365

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
