epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5985646843910217,0.5839874744415283,0.6175968647003174,0.19187600910663605,0.563579261302948,0.6043956279754639,0.2862839102745056,1.1720256805419922,0.19187600213789419,0.89258114374034,359.0,1512.0,2310.0,278.0
1,0.5759139060974121,0.5805860757827759,0.6228989362716675,0.18681319057941437,0.587127149105072,0.5740450024604797,0.2834407091140747,1.1593713760375977,0.18681318681318682,0.892958892958893,374.0,1628.0,2194.0,263.0
2,0.602152943611145,0.5900052189826965,0.6283480525016785,0.19550080597400665,0.5729984045028687,0.6070120334625244,0.29153355956077576,1.1515905857086182,0.19550080342795928,0.8950617283950617,365.0,1502.0,2320.0,272.0
3,0.6241309642791748,0.5943223237991333,0.6347104907035828,0.20195065438747406,0.5525902509689331,0.6360543966293335,0.29579830169677734,1.1449755430221558,0.2019506597819851,0.8950662739322534,352.0,1391.0,2431.0,285.0
4,0.6431935429573059,0.5962846279144287,0.6435792446136475,0.20736196637153625,0.5306122303009033,0.6619570851325989,0.29819145798683167,1.1388401985168457,0.20736196319018405,0.8943089430894309,338.0,1292.0,2530.0,299.0
5,0.6467818021774292,0.6127681732177734,0.6513073444366455,0.21712906658649445,0.5651491284370422,0.6603872179985046,0.3137255012989044,1.1327799558639526,0.21712907117008443,0.9011067475901464,360.0,1298.0,2524.0,277.0
6,0.6530612111091614,0.617085337638855,0.6583930850028992,0.22120098769664764,0.5667189955711365,0.6674516201019287,0.31820186972618103,1.1276469230651855,0.22120098039215685,0.9023700035373187,361.0,1271.0,2551.0,276.0
7,0.6615833044052124,0.6227105855941772,0.6639249324798584,0.2268170416355133,0.5682888627052307,0.6771323680877686,0.3242274820804596,1.1226832866668701,0.22681704260651628,0.9039469088368843,362.0,1234.0,2588.0,275.0
8,0.6636016964912415,0.6199634075164795,0.6698014736175537,0.22603175044059753,0.5588697195053101,0.6810570359230042,0.32188063859939575,1.1177617311477661,0.22603174603174603,0.9025658807212206,356.0,1219.0,2603.0,281.0
9,0.6718995571136475,0.6241496801376343,0.675163745880127,0.2311197966337204,0.5572998523712158,0.690999448299408,0.3267372250556946,1.1131196022033691,0.23111979166666666,0.9035237769414984,355.0,1181.0,2641.0,282.0
10,0.6813187003135681,0.6257195472717285,0.6807756423950195,0.23549257218837738,0.5478807091712952,0.7035583257675171,0.3294006586074829,1.1084516048431396,0.23549257759784076,0.903258313738663,349.0,1133.0,2689.0,288.0
11,0.6887194514274597,0.6293824911117554,0.6860171556472778,0.24049757421016693,0.5463108420372009,0.7124541997909546,0.33397310972213745,1.103278398513794,0.2404975812024879,0.9040504648074369,348.0,1099.0,2723.0,289.0
12,0.6943261027336121,0.6280742883682251,0.6913654208183289,0.2421875,0.535321831703186,0.7208268046379089,0.3334963321685791,1.098382830619812,0.2421875,0.9029826286463455,341.0,1067.0,2755.0,296.0
13,0.690513551235199,0.6323913931846619,0.6958205699920654,0.2429065704345703,0.5510203838348389,0.7137624025344849,0.33717578649520874,1.0925979614257812,0.24290657439446367,0.9051094890510949,351.0,1094.0,2728.0,286.0
14,0.6963444948196411,0.628597617149353,0.7004330158233643,0.2433786690235138,0.5337519645690918,0.7234432101249695,0.334316611289978,1.0882618427276611,0.24337866857551896,0.903004572175049,340.0,1057.0,2765.0,297.0
15,0.7035209536552429,0.6301674842834473,0.7049922943115234,0.24760501086711884,0.5274725556373596,0.7328623533248901,0.33701103925704956,1.0841598510742188,0.24760501105379515,0.9029658284977434,336.0,1021.0,2801.0,301.0
16,0.7044180035591125,0.6372318267822266,0.7086778879165649,0.25200292468070984,0.5431711077690125,0.7312925457954407,0.34427863359451294,1.079548716545105,0.2520029133284778,0.905703175631886,346.0,1027.0,2795.0,291.0
17,0.707333505153656,0.6350078582763672,0.711698055267334,0.25222551822662354,0.5337519645690918,0.7362637519836426,0.3425692617893219,1.0756018161773682,0.2522255192878338,0.9045323047251688,340.0,1008.0,2814.0,297.0
18,0.7124915719032288,0.6380167603492737,0.7142310738563538,0.25660377740859985,0.5337519645690918,0.7422815561294556,0.34658512473106384,1.0725257396697998,0.25660377358490566,0.9052329291640077,340.0,985.0,2837.0,297.0
19,0.7124915719032288,0.6399791240692139,0.7163344621658325,0.25770097970962524,0.5384615659713745,0.7414966225624084,0.34857723116874695,1.0693292617797852,0.2577009767092412,0.9060102301790282,343.0,988.0,2834.0,294.0
20,0.7214621901512146,0.6399790644645691,0.7183064818382263,0.26274511218070984,0.5259026885032654,0.7540554404258728,0.35041844844818115,1.0688973665237427,0.2627450980392157,0.9051507537688442,335.0,940.0,2882.0,302.0
21,0.7185467481613159,0.6480900049209595,0.7197428345680237,0.26555386185646057,0.5494505763053894,0.7467294335365295,0.35805627703666687,1.064810872077942,0.26555386949924126,0.9086278255332697,350.0,968.0,2854.0,287.0
22,0.7284144163131714,0.6459968090057373,0.7215113043785095,0.2703999876976013,0.5306122303009033,0.7613814473152161,0.3582405745983124,1.064963459968567,0.2704,0.9068245559364287,338.0,912.0,2910.0,299.0
23,0.7286387085914612,0.6467818021774292,0.7227597236633301,0.2709832191467285,0.5321820974349976,0.7613814473152161,0.35911017656326294,1.0632710456848145,0.2709832134292566,0.9071072319201995,339.0,912.0,2910.0,298.0
24,0.7322269678115845,0.6475666761398315,0.7238101959228516,0.27376118302345276,0.5290423631668091,0.7660910487174988,0.3608137369155884,1.0622797012329102,0.2737611697806661,0.9070631970260223,337.0,894.0,2928.0,300.0
25,0.7284144163131714,0.6453427076339722,0.7248046398162842,0.27003204822540283,0.5290423631668091,0.76164311170578,0.3575596511363983,1.0603089332580566,0.27003205128205127,0.9065711616318903,337.0,911.0,2911.0,300.0
26,0.7324512004852295,0.6457352638244629,0.7259986400604248,0.2728758156299591,0.5243328213691711,0.7671376466751099,0.3589468002319336,1.0596376657485962,0.272875816993464,0.9063369397217929,334.0,890.0,2932.0,303.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_3
table: need_emots_dif_n
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220209-1218
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_3
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_3\CNN
