epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.8331463932991028,0.5096049904823303,0.5311223864555359,0.15658363699913025,0.0798548087477684,0.939355194568634,0.10576923936605453,0.0,0.15658363699913025,0.8786500096321106,44.0,237.0,3671.0,507.0,0.0
1,0.7602601647377014,0.5225884914398193,0.5342127084732056,0.15281501412391663,0.2068965584039688,0.838280439376831,0.17579026520252228,0.0,0.15281501412391663,0.882305383682251,114.0,632.0,3276.0,437.0,1.0
2,0.6337743997573853,0.5291581749916077,0.5397428274154663,0.14219576120376587,0.3901996314525604,0.6681167483329773,0.2084343284368515,0.0,0.14219576120376587,0.8859856724739075,215.0,1297.0,2611.0,336.0,2.0
3,0.5492262840270996,0.5401656627655029,0.546637773513794,0.1425771713256836,0.5281306505203247,0.5522006154060364,0.22453705966472626,0.0,0.1425771713256836,0.892473042011261,291.0,1750.0,2158.0,260.0,3.0
4,0.4853106439113617,0.5341023802757263,0.5527316331863403,0.1372712105512619,0.5989110469818115,0.4692937433719635,0.22335024178028107,0.0,0.1372712105512619,0.8924574255943298,330.0,2074.0,1834.0,221.0,4.0
5,0.6259251236915588,0.5457265973091125,0.5591994524002075,0.1511555314064026,0.4392014443874359,0.6522517800331116,0.22490708529949188,0.0,0.1511555314064026,0.8918824195861816,242.0,1359.0,2549.0,309.0,5.0
6,0.653958261013031,0.5515859723091125,0.5641218423843384,0.15793102979660034,0.4156080186367035,0.687563955783844,0.22888554632663727,0.0,0.15793102979660034,0.8929877281188965,229.0,1221.0,2687.0,322.0,6.0
7,0.47207894921302795,0.5398052930831909,0.5651980638504028,0.13896675407886505,0.6297640800476074,0.449846476316452,0.22769029438495636,0.0,0.13896675407886505,0.8960244655609131,347.0,2150.0,1758.0,204.0,7.0
8,0.5487777590751648,0.5531612634658813,0.5733104944229126,0.14829079806804657,0.5589836835861206,0.5473387837409973,0.2343987673521042,0.0,0.14829079806804657,0.8979848027229309,308.0,1769.0,2139.0,243.0,8.0
9,0.49002018570899963,0.5469226837158203,0.5763606429100037,0.14238272607326508,0.6225045323371887,0.4713408052921295,0.23175674676895142,0.0,0.14238272607326508,0.8985365033149719,343.0,2066.0,1842.0,208.0,9.0
10,0.5777080059051514,0.5571938753128052,0.5805191397666931,0.15240083634853363,0.5299455523490906,0.5844421982765198,0.23672477900981903,0.0,0.15240083634853363,0.8981518149375916,292.0,1624.0,2284.0,259.0,10.0
11,0.5696344375610352,0.55804443359375,0.5828608870506287,0.15208545327186584,0.5426497459411621,0.5734391212463379,0.2375844269990921,0.0,0.15208545327186584,0.8989169597625732,299.0,1667.0,2241.0,252.0,11.0
12,0.509755551815033,0.558181643486023,0.5854436755180359,0.1477811336517334,0.6225045323371887,0.4938587248325348,0.2388579398393631,0.0,0.1477811336517334,0.9027128219604492,343.0,1978.0,1930.0,208.0,12.0
