epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.4633325934410095,0.5692117214202881,0.6148433685302734,0.32008829712867737,0.8107028603553772,0.32772061228752136,0.4589644968509674,0.9845079779624939,0.3200883002207506,0.8159937888198758,1015.0,2156.0,1051.0,237.0
1,0.5276967883110046,0.5745183825492859,0.6211651563644409,0.33320313692092896,0.6813098788261414,0.46772685647010803,0.44753411412239075,0.9744473695755005,0.333203125,0.7898894154818326,853.0,1707.0,1500.0,399.0
2,0.5263512134552002,0.5782085061073303,0.6259571313858032,0.3348694443702698,0.6964856386184692,0.4599314033985138,0.4522821307182312,0.9685383439064026,0.3348694316436252,0.7951482479784366,872.0,1732.0,1475.0,380.0
3,0.5330791473388672,0.5860506296157837,0.6327563524246216,0.3403846025466919,0.7068690061569214,0.46523231267929077,0.4595015347003937,0.9633824229240417,0.3403846153846154,0.8025820333512641,885.0,1715.0,1492.0,367.0
4,0.5393586158752441,0.5928506255149841,0.6407598853111267,0.34529322385787964,0.7148562073707581,0.4708450138568878,0.46566078066825867,0.9584565162658691,0.3452932098765432,0.80878414568827,895.0,1697.0,1510.0,357.0
5,0.546535074710846,0.6007611155509949,0.6488107442855835,0.3510061800479889,0.72444087266922,0.47708138823509216,0.47288838028907776,0.9539545774459839,0.3510061919504644,0.816,907.0,1677.0,1530.0,345.0
6,0.5546086430549622,0.6063738465309143,0.6560568809509277,0.3559654653072357,0.72444087266922,0.48830682039260864,0.47736841440200806,0.9493528604507446,0.3559654631083202,0.8194662480376766,907.0,1641.0,1566.0,345.0
7,0.5624579787254333,0.6152390241622925,0.6626167893409729,0.36245572566986084,0.7356230020523071,0.49485501646995544,0.48563143610954285,0.945168137550354,0.3624557260920897,0.8274244004171012,921.0,1620.0,1587.0,331.0
8,0.5732226967811584,0.6207749843597412,0.6682344675064087,0.3685910403728485,0.7292332053184509,0.5123168230056763,0.48967549204826355,0.940970242023468,0.36859103754541783,0.8289606458123108,913.0,1564.0,1643.0,339.0
9,0.5824176073074341,0.6249762177467346,0.6735526323318481,0.37386268377304077,0.7220447063446045,0.5279077291488647,0.49264299869537354,0.936819851398468,0.3738626964433416,0.8294953454189123,904.0,1514.0,1693.0,348.0
10,0.5884727239608765,0.6277250051498413,0.6783076524734497,0.377469539642334,0.7172523736953735,0.5381976962089539,0.4946295917034149,0.9329825043678284,0.3774695250105086,0.8298076923076924,898.0,1481.0,1726.0,354.0
11,0.5904911160469055,0.6286413669586182,0.6819287538528442,0.3786982297897339,0.7156549692153931,0.5416277050971985,0.4953013062477112,0.9294905066490173,0.378698224852071,0.829909221213569,896.0,1470.0,1737.0,356.0
12,0.5947521924972534,0.6335512399673462,0.6852737665176392,0.3825645446777344,0.7220447063446045,0.5450577139854431,0.5001382827758789,0.9264428019523621,0.3825645366060093,0.833969465648855,904.0,1459.0,1748.0,348.0
13,0.5992375016212463,0.6347217559814453,0.6885947585105896,0.3850451111793518,0.7156549692153931,0.5537886023521423,0.5006985068321228,0.9231411218643188,0.38504512247529005,0.8330206378986866,896.0,1431.0,1776.0,356.0
14,0.599910318851471,0.6373805999755859,0.6920065879821777,0.3864218592643738,0.7228434681892395,0.5519176721572876,0.5036171078681946,0.9200743436813354,0.38642186165670367,0.8360888049126122,905.0,1437.0,1770.0,347.0
15,0.6046198606491089,0.6377332210540771,0.6946625709533691,0.38876795768737793,0.7132588028907776,0.5622076988220215,0.5032403469085693,0.9169846177101135,0.3887679582063561,0.833950046253469,893.0,1404.0,1803.0,359.0
