epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.03834940865635872,0.4982001483440399,0.5280874967575073,0.01832340843975544,0.9756097793579102,0.020790496841073036,0.035971224308013916,0.0,0.01832340843975544,0.9784946441650391,80.0,4286.0,91.0,2.0,0.0
1,0.07221349328756332,0.5094660520553589,0.54129958152771,0.018751483410596848,0.9634146094322205,0.05551747605204582,0.03678695484995842,0.0,0.018751483410596848,0.9878048896789551,79.0,4134.0,243.0,3.0,1.0
2,0.14980937540531158,0.5250575542449951,0.5589946508407593,0.019435087218880653,0.9146341681480408,0.13548092544078827,0.03806140646338463,0.0,0.019435087218880653,0.9883333444595337,75.0,3784.0,593.0,7.0,2.0
3,0.29827314615249634,0.5587968230247498,0.5809428095817566,0.02136349305510521,0.8292682766914368,0.28832533955574036,0.04165390506386757,0.0,0.02136349305510521,0.98902827501297,68.0,3115.0,1262.0,14.0,3.0
4,0.32271808385849,0.5473149418830872,0.6008124351501465,0.020874103531241417,0.7804877161979675,0.3141420781612396,0.04066074267029762,0.0,0.020874103531241417,0.9870782494544983,64.0,3002.0,1375.0,18.0,4.0
5,0.4660237729549408,0.5724435448646545,0.6151446104049683,0.02322687767446041,0.6829268336296082,0.4619602560997009,0.044925790280103683,0.0,0.02322687767446041,0.9873046875,56.0,2355.0,2022.0,26.0,5.0
6,0.5442924499511719,0.5764110684394836,0.622491717338562,0.024390241131186485,0.6097561120986938,0.5430660247802734,0.046904318034648895,0.0,0.024390241131186485,0.9867165684700012,50.0,2000.0,2377.0,32.0,6.0
7,0.632204532623291,0.5793072581291199,0.6102660298347473,0.02615571953356266,0.5243902206420898,0.6342243552207947,0.049826186150312424,0.0,0.02615571953356266,0.9861456751823425,43.0,1601.0,2776.0,39.0,7.0
8,0.548553466796875,0.5725981593132019,0.6138573288917542,0.024149825796484947,0.5975610017776489,0.5476353764533997,0.046423494815826416,0.0,0.024149825796484947,0.9864197373390198,49.0,1980.0,2397.0,33.0,8.0
9,0.7044180035591125,0.5981404185295105,0.6246927976608276,0.030395137146115303,0.4878048896789551,0.7084761261940002,0.05722460523247719,0.0,0.030395137146115303,0.9866369962692261,40.0,1276.0,3101.0,42.0,9.0
10,0.5667189955711365,0.5878344178199768,0.6185213923454285,0.025641025975346565,0.6097561120986938,0.5659127235412598,0.04921259731054306,0.0,0.025641025975346565,0.9872459173202515,50.0,1900.0,2477.0,32.0,10.0
11,0.731105625629425,0.6237009763717651,0.6325944662094116,0.034970857203006744,0.5121951103210449,0.7352067828178406,0.06547154486179352,0.0,0.034970857203006744,0.9877225160598755,42.0,1159.0,3218.0,40.0,11.0
12,0.7180982232093811,0.6230586767196655,0.6367987394332886,0.034099921584129333,0.5243902206420898,0.721727192401886,0.06403574347496033,0.0,0.034099921584129333,0.9878048896789551,43.0,1218.0,3159.0,39.0,12.0
13,0.7407490611076355,0.6106629967689514,0.6361134648323059,0.0338541679084301,0.47560974955558777,0.7457162737846375,0.06320907920598984,0.0,0.0338541679084301,0.9869973063468933,39.0,1113.0,3264.0,43.0,13.0
14,0.653734028339386,0.6022403836250305,0.6336225271224976,0.02899484522640705,0.5487805008888245,0.6557002663612366,0.05507956072688103,0.0,0.02899484522640705,0.9872720837593079,45.0,1507.0,2870.0,37.0,14.0
15,0.6378111839294434,0.6060964465141296,0.6365898251533508,0.028887523338198662,0.5731707215309143,0.639022171497345,0.05500292778015137,0.0,0.028887523338198662,0.9876412153244019,47.0,1580.0,2797.0,35.0,15.0
16,0.6936532855033875,0.6046239137649536,0.6424630880355835,0.030701754614710808,0.5121951103210449,0.6970527768135071,0.05793103575706482,0.0,0.030701754614710808,0.9870591759681702,42.0,1326.0,3051.0,40.0,16.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: see_psych
table_extra: 
dataset: SCAR
debug: False
max_tokens: 512
lr: 1e-05
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220212-1331
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\BERT
