Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
20211205-1601,,,,SCAR_NLP,BERT,need_emots_1,ppv3,,bert-base-uncased,,,,,,,,,,0.0,50.0,0.0001,5.0,loss_weight,0.6200941801071167,0.6138805150985718,,,,,,,,,,,,,
20211208-1328,,,,SCAR_NLP,BoW,need_emots_1,ppv4,,,,,rf,,,,,,,False,10.0,,5.0,loss_weight,0.6292890782686701,0.601962609768274,0.6019626097682739,0.6292890782686701,,,,,,,,,,,
20211208-1845,,,,SCAR_NLP,CNN,need_emots_1,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6533363289148506,0.6493988132738735,0.6493988132738735,0.6533363289148506,,,,,,,,,,,
20211209-2311,,,,SCAR_NLP,LSTM,need_emots_1,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,False,100.0,0.0001,5.0,loss_weight,0.6150892252089452,0.5902999276174572,0.5902999276174572,0.6150892252089452,,,,,,,,,,,
20220107-2359,,,,SCAR_NLP,Longformer,need_emots_1,ppv4,,allenai/longformer-base-4096,,,,,,,,,,False,1.0,0.0001,5.0,loss_weight,0.563355028629303,0.4968394041061401,0.4749892354011535,0.7181937098503113,,,,,,,,,,,
20220113-1826,,,,SCAR_NLP,Longformer,need_emots_1,ppv4,,allenai/longformer-base-4096,,,,,,,,,,False,100.0,0.0001,5.0,loss_weight,0.6209912300109863,0.6236536502838135,0.665539026260376,0.6448087096214294,,,,,,,,,,,
,BoW_20220209-0836,20220209-0848,need_emots_dif_n,SCAR_NLP,BoW,need_emots_1,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6342229247093201,0.6314171552658081,0.6314171552658081,0.6697712540626526,0.6516942381858826,0.6888796091079712,0.6111400127410889,0.6888796334860475,0.5704567541302236,1654.0,1174.0,747.0,884.0,BoW & 0.63 & 0.63 & 0.63 & 0.67 & 0.65 & 0.61 \\,
,CNN_20220209-1024,20220209-1116,need_emots_dif_n,SCAR_NLP,CNN,need_emots_1,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6555281281471252,0.6482343673706055,0.7014608979225159,0.698468804359436,0.7009456157684326,0.6960093975067139,0.5955231785774231,0.6960093896713615,0.6011560693641619,1779.0,1144.0,777.0,759.0,CNN & 0.66 & 0.65 & 0.7 & 0.7 & 0.7 & 0.6 \\,
,BoW_20220209-1704,20220209-1711,need_emots_dif_n,SCAR_NLP,BoW,need_emots_1,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6342229247093201,0.6314171552658081,0.6314171552658081,0.6697712540626526,0.6516942381858826,0.6888796091079712,0.6111400127410889,0.6888796334860475,0.5704567541302236,1654.0,1174.0,747.0,884.0,BoW & 1 & 0.63 & 0.63 & 0.63 & 0.67 & 0.65 & 0.61 \\,1.0
,CNN_20220209-1744,20220209-1900,need_emots_dif_n,SCAR_NLP,CNN,need_emots_1,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6633774638175964,0.6484856605529785,0.706821620464325,0.7188612222671509,0.7561071515083313,0.685112476348877,0.540864109992981,0.685112459835773,0.626658624849216,1919.0,1039.0,882.0,619.0,CNN & 1 & 0.66 & 0.65 & 0.71 & 0.72 & 0.76 & 0.54 \\,1.0
,BoW_20220215-2158,20220215-2206,need_emots_dif_n,SCAR_NLP,BoW,need_emots_1,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6342229247093201,0.6314171552658081,0.6314171552658081,0.6697712540626526,0.6516942381858826,0.6888796091079712,0.6111400127410889,0.6888796334860475,0.5704567541302236,1654.0,1174.0,747.0,884.0,BoW & 1 & 0.63 & 0.63 & 0.63 & 0.67 & 0.69 & 0.65 \\,1.0
,CNN_20220215-2238,20220215-2335,need_emots_dif_n,SCAR_NLP,CNN,need_emots_1,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6485759019851685,0.6461136341094971,0.7030881643295288,0.6826007962226868,0.6639086008071899,0.7023760080337524,0.6283186078071594,0.7023759899958316,0.5859223300970874,1685.0,1207.0,714.0,853.0,CNN & 1 & 0.65 & 0.65 & 0.7 & 0.68 & 0.7 & 0.66 \\,1
