epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.9470732808113098,0.5,0.5276838541030884,0.0,0.0,1.0,0.0,0.0,0.0,0.9470732808113098,0.0,0.0,4223.0,236.0,0.0
1,0.9470732808113098,0.5,0.5342580080032349,0.0,0.0,1.0,0.0,0.0,0.0,0.9470732808113098,0.0,0.0,4223.0,236.0,1.0
2,0.9190401434898376,0.5092030167579651,0.5512513518333435,0.08053690940141678,0.050847455859184265,0.9675586223602295,0.06233765557408333,0.0,0.08053690940141678,0.9480278491973877,12.0,137.0,4086.0,224.0,2.0
3,0.7050908207893372,0.5562697649002075,0.5715327262878418,0.07284244149923325,0.38983049988746643,0.7227090001106262,0.12274850159883499,0.0,0.07284244149923325,0.9549436569213867,92.0,1171.0,3052.0,144.0,3.0
4,0.5857815742492676,0.571290910243988,0.5909155607223511,0.06994126737117767,0.555084764957428,0.5874970555305481,0.12422949075698853,0.0,0.06994126737117767,0.9593967795372009,131.0,1742.0,2481.0,105.0,4.0
5,0.561560869216919,0.5705052614212036,0.6052338480949402,0.0687405914068222,0.5805084705352783,0.5605019927024841,0.12292506545782089,0.0,0.0687405914068222,0.9598539471626282,137.0,1856.0,2367.0,99.0,5.0
6,0.6037228107452393,0.5747621059417725,0.6166714429855347,0.07162842899560928,0.5423728823661804,0.6071513295173645,0.12654472887516022,0.0,0.07162842899560928,0.9595808386802673,128.0,1659.0,2564.0,108.0,6.0
7,0.5371159315109253,0.5696011781692505,0.6237763166427612,0.06764427572488785,0.6059321761131287,0.5332701802253723,0.12170211225748062,0.0,0.06764427572488785,0.9603411555290222,143.0,1971.0,2252.0,93.0,7.0
8,0.5111011266708374,0.5698685646057129,0.6298277974128723,0.06684491783380508,0.6355932354927063,0.5041439533233643,0.12096772342920303,0.0,0.06684491783380508,0.9611738324165344,150.0,2094.0,2129.0,86.0,8.0
9,0.5411527156829834,0.5897345542907715,0.6311090588569641,0.07190161198377609,0.6440678238868713,0.5354013442993164,0.12936170399188995,0.0,0.07190161198377609,0.9641790986061096,152.0,1962.0,2261.0,84.0,9.0
10,0.5301637053489685,0.5939342379570007,0.6343681216239929,0.07225034385919571,0.6652542352676392,0.5226142406463623,0.13034453988075256,0.0,0.07225034385919571,0.965441882610321,157.0,2016.0,2207.0,79.0,10.0
11,0.5990132093429565,0.604279637336731,0.639253556728363,0.0782608687877655,0.6101694703102112,0.598389744758606,0.1387283205986023,0.0,0.0782608687877655,0.9648720622062683,144.0,1696.0,2527.0,92.0,11.0
12,0.5140165686607361,0.5894100069999695,0.6433387994766235,0.0706980898976326,0.6737287640571594,0.5050911903381348,0.12796781957149506,0.0,0.0706980898976326,0.9651582837104797,159.0,2090.0,2133.0,77.0,12.0
13,0.5617851614952087,0.604627788066864,0.6464282870292664,0.07601184397935867,0.6525423526763916,0.5567132234573364,0.1361626833677292,0.0,0.07601184397935867,0.9662967324256897,154.0,1872.0,2351.0,82.0,13.0
14,0.5557299852371216,0.595430314540863,0.6519944667816162,0.07376648485660553,0.6398305296897888,0.5510300993919373,0.1322820782661438,0.0,0.07376648485660553,0.9647595286369324,151.0,1896.0,2327.0,85.0,14.0
15,0.4996635913848877,0.6098358631134033,0.6575071215629578,0.07390004396438599,0.7330508232116699,0.48662087321281433,0.13426464796066284,0.0,0.07390004396438599,0.9702549576759338,173.0,2168.0,2055.0,63.0,15.0
