epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.589859437751004,0.588400102304169,0.588400102304169,0.589859437751004,0.589859437751004,0.589859437751004,0.6825946215166145
1,0.5983935742971888,0.5965030574995931,0.5965030574995931,0.5983935742971888,0.5983935742971888,0.5983935742971888,0.6763781218164896
2,0.6044176706827309,0.6024906819300713,0.6024906819300713,0.6044176706827309,0.6044176706827309,0.6044176706827309,0.6702768323890655
3,0.6134538152610441,0.6117132207920082,0.6117132207920081,0.6134538152610441,0.6134538152610441,0.6134538152610441,0.6645032155465889
4,0.6159638554216867,0.6138821298272252,0.6138821298272252,0.6159638554216867,0.6159638554216867,0.6159638554216867,0.6587424646898445
5,0.6204819277108434,0.6192434950419882,0.6192434950419882,0.6204819277108434,0.6204819277108434,0.6204819277108434,0.6537698313414332
6,0.6305220883534136,0.6289906965882772,0.6289906965882772,0.6305220883534136,0.6305220883534136,0.6305220883534136,0.6484457524904764
7,0.6360441767068273,0.6347159896765793,0.6347159896765794,0.6360441767068273,0.6360441767068273,0.6360441767068273,0.6437313971988647
8,0.6450803212851406,0.6438849502682451,0.6438849502682453,0.6450803212851406,0.6450803212851406,0.6450803212851406,0.6391690092153818
9,0.6470883534136547,0.6460594193126414,0.6460594193126413,0.6470883534136547,0.6470883534136547,0.6470883534136547,0.6349308845029777
10,0.6516064257028112,0.6507778452841518,0.6507778452841518,0.6516064257028112,0.6516064257028112,0.6516064257028112,0.6309422768024077
11,0.6541164658634538,0.6535896935626213,0.6535896935626214,0.6541164658634538,0.6541164658634538,0.6541164658634538,0.6270011875284723
12,0.6596385542168675,0.6589935170292972,0.6589935170292971,0.6596385542168675,0.6596385542168675,0.6596385542168675,0.6231217165309263
13,0.6581325301204819,0.6575635837595165,0.6575635837595164,0.6581325301204819,0.6581325301204819,0.6581325301204819,0.6195661092857759
14,0.6676706827309237,0.6672091887744426,0.6672091887744426,0.6676706827309237,0.6676706827309237,0.6676706827309237,0.6161549704141885
15,0.6691767068273092,0.6689605916658495,0.6689605916658495,0.6691767068273092,0.6691767068273092,0.6691767068273092,0.6132073289898026
16,0.6666666666666666,0.6672738870630717,0.6672738870630717,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6106289813078072
17,0.6696787148594378,0.6700265970620911,0.6700265970620912,0.6696787148594378,0.6696787148594378,0.6696787148594378,0.607516176489941
18,0.6716867469879518,0.671772439944319,0.671772439944319,0.6716867469879518,0.6716867469879518,0.6716867469879518,0.6047687504186209
19,0.6706827309236948,0.6714085120707799,0.6714085120707799,0.6706827309236948,0.6706827309236948,0.6706827309236948,0.6029203058964756
20,0.6706827309236948,0.6709798859086117,0.6709798859086117,0.6706827309236948,0.6706827309236948,0.6706827309236948,0.6003674959322535
21,0.6691767068273092,0.6706750963145227,0.6706750963145226,0.6691767068273092,0.6691767068273092,0.6691767068273092,0.599248566421639
22,0.6726907630522089,0.6736365593854471,0.6736365593854471,0.6726907630522089,0.6726907630522089,0.6726907630522089,0.5968453647142433
23,0.6726907630522089,0.6737437159259891,0.6737437159259891,0.6726907630522089,0.6726907630522089,0.6726907630522089,0.595131071576153
24,0.6726907630522089,0.6741723420881575,0.6741723420881575,0.6726907630522089,0.6726907630522089,0.6726907630522089,0.5941586039631243
25,0.6736947791164659,0.675179209204949,0.675179209204949,0.6736947791164659,0.6736947791164659,0.6736947791164659,0.5928367166873442
26,0.6731927710843374,0.6745954082411467,0.6745954082411467,0.6731927710843374,0.6731927710843374,0.6731927710843374,0.5914193433690741
