epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7098385691642761,0.7490747570991516,0.8320695161819458,0.5298892855644226,0.8588516712188721,0.6392978429794312,0.6554084420204163,0.8166064023971558,0.529889298892989,0.9053728949478749,718.0,637.0,1129.0,118.0
1,0.7394312024116516,0.7689856290817261,0.8477379679679871,0.5624012351036072,0.8516746163368225,0.6862967014312744,0.6774500608444214,0.718809962272644,0.5624012638230648,0.907185628742515,712.0,554.0,1212.0,124.0
2,0.7786318063735962,0.7959747314453125,0.8641051054000854,0.6128472089767456,0.8444976210594177,0.7474518418312073,0.7102616429328918,0.6605086326599121,0.6128472222222222,0.9103448275862069,706.0,446.0,1320.0,130.0
3,0.7966948747634888,0.810226559638977,0.8764305114746094,0.6381638050079346,0.8480861186981201,0.7723669409751892,0.7282999157905579,0.6177595257759094,0.6381638163816382,0.914822266934943,709.0,402.0,1364.0,127.0
4,0.7993850708007812,0.8153579831123352,0.8858203887939453,0.6396797299385071,0.8600478172302246,0.7706681489944458,0.7336735129356384,0.5865380167961121,0.6396797153024911,0.9208389715832206,719.0,405.0,1361.0,117.0
5,0.8066871762275696,0.8204224109649658,0.8923952579498291,0.6509519219398499,0.8588516712188721,0.7819932103157043,0.7405878901481628,0.5670208930969238,0.6509519492293744,0.9212808539026017,718.0,385.0,1381.0,118.0
6,0.8066871762275696,0.8216822743415833,0.8972229957580566,0.6498649716377258,0.8636363744735718,0.7797281742095947,0.7416538000106812,0.5528257489204407,0.6498649864986499,0.9235412474849095,722.0,389.0,1377.0,114.0
7,0.8116832971572876,0.8256778717041016,0.9010990858078003,0.6572727560997009,0.8648325204849243,0.7865232229232788,0.7469008564949036,0.5421119332313538,0.6572727272727272,0.9247669773635153,723.0,377.0,1389.0,113.0
8,0.8147578835487366,0.8292027115821838,0.9044071435928345,0.660909116268158,0.869617223739624,0.7887881994247437,0.7510330677032471,0.532433271408081,0.6609090909090909,0.9274300932090546,727.0,373.0,1393.0,109.0
9,0.8189854025840759,0.8332619667053223,0.9074836373329163,0.6666666865348816,0.8732057213783264,0.7933182120323181,0.7560849189758301,0.5236395001411438,0.6666666666666666,0.9296615792966157,730.0,365.0,1401.0,106.0
10,0.823597252368927,0.83571457862854,0.9104036092758179,0.6750231981277466,0.869617223739624,0.8018119931221008,0.7600627541542053,0.5156566500663757,0.6750232126276694,0.9285245901639344,727.0,350.0,1416.0,109.0
11,0.8270561099052429,0.8382627367973328,0.9130370616912842,0.6807116270065308,0.869617223739624,0.8069082498550415,0.7636554837226868,0.5078893303871155,0.6807116104868914,0.9289439374185137,727.0,341.0,1425.0,109.0
12,0.831667959690094,0.8416602611541748,0.9153244495391846,0.6884469985961914,0.869617223739624,0.8137032985687256,0.768498957157135,0.50157630443573,0.6884469696969697,0.9294954721862871,727.0,329.0,1437.0,109.0
13,0.8343582153320312,0.8436421155929565,0.9172859787940979,0.6930409669876099,0.869617223739624,0.8176670670509338,0.7713528275489807,0.49549365043640137,0.6930409914204004,0.9298132646490663,727.0,322.0,1444.0,109.0
14,0.8355111479759216,0.8454363942146301,0.9190247058868408,0.6939163208007812,0.8732057213783264,0.8176670670509338,0.7733050584793091,0.4897007644176483,0.6939163498098859,0.9316129032258065,730.0,322.0,1444.0,106.0
15,0.8378170728683472,0.8465052247047424,0.9207583069801331,0.698656439781189,0.8708133697509766,0.8221970796585083,0.7752928733825684,0.48461511731147766,0.6986564299424184,0.9307692307692308,728.0,314.0,1452.0,108.0
