epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
1,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
2,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
3,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
4,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
5,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
6,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
7,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
8,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0
9,0.5705314874649048,0.5957597494125366,0.5957596898078918,0.026356589049100876,0.6219512224197388,0.5695682168006897,0.05057015269994736,0.0,0.02635658914728682,0.9877179080824089,51.0,1884.0,2493.0,31.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_60
table: see_psych
dataset: SCAR
debug: False
max_features: 50
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
run_name: BoW_20220130-1026
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60\BoW
