epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
1,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
2,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
3,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
4,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
5,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
6,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
7,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
8,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0
9,0.5395828485488892,0.5680288076400757,0.5680288076400757,0.023682938888669014,0.5975610017776489,0.5384966731071472,0.04556020349264145,0.0,0.023682938617689706,0.9861924686192468,49.0,2020.0,2357.0,33.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_60
table: see_psych
dataset: SCAR
debug: False
max_features: 10
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
run_name: BoW_20220130-1003
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60\BoW
